id,previousHomeWin,previousAwayWin,previousDraw,previousManagerHomeWin,previousManagerAwayWin,previousManagerDraw
10385607,8,6,6,0,0,1
10385596,5,5,4,0,2,0
10385601,4,1,6,0,0,1
10385606,2,12,1,0,2,1
10385617,8,5,7,3,1,1
10385594,3,9,8,4,4,2
10385593,7,5,4,1,0,0
10385597,7,2,3,3,1,0
10385610,7,11,2,1,0,0
10385596,5,5,4,0,2,0
10385606,2,12,1,0,2,1
10385610,7,11,2,1,0,0
10385613,7,9,2,1,0,0
10385630,8,9,3,4,1,1
10385621,5,9,6,0,0,1
10385636,15,4,1,8,3,0
10385633,4,3,2,1,2,2
10385602,4,6,5,1,1,1
10385613,7,9,2,1,0,0
10385630,8,9,3,4,1,1
10385621,5,9,6,0,0,1
10385616,4,13,3,1,10,1
10385636,15,4,1,8,3,0
10385628,10,4,4,0,1,0
10385633,4,3,2,1,2,2
10385602,4,6,5,1,1,1
10385612,11,7,2,8,4,3
10385616,4,13,3,1,10,1
10385604,6,12,2,0,0,1
10385628,10,4,4,0,1,0
10385612,11,7,2,8,4,3
10385604,6,12,2,0,0,1
10385640,6,7,7,4,9,3
10385632,13,3,4,2,1,0
10385625,2,4,0,1,0,0
10385619,9,4,4,5,1,4
10385622,8,3,8,1,0,0
10385638,0,17,3,0,12,0
10385645,10,5,5,1,0,0
10385640,6,7,7,4,9,3
10385632,13,3,4,2,1,0
10385625,2,4,0,1,0,0
10385619,9,4,4,5,1,4
10385622,8,3,8,1,0,0
10385638,0,17,3,0,12,0
10385647,12,2,6,1,0,0
10385645,10,5,5,1,0,0
10385632,13,3,4,2,1,0
10385625,2,4,0,1,0,0
10385652,8,7,5,2,2,3
10385638,0,17,3,0,12,0
10385647,12,2,6,1,0,0
10385645,10,5,5,1,0,0
11205391,10,5,5,4,1,1
10385652,8,7,5,2,2,3
11205391,10,5,5,4,1,1
11157124,12,4,4,4,1,3
11157238,16,1,3,11,1,3
11157124,12,4,4,4,1,3
11157237,6,10,0,2,1,0
11157238,16,1,3,11,1,3
11157237,6,10,0,2,1,0
10385662,8,5,7,3,1,3
10385637,4,10,2,2,1,0
10385654,3,1,1,3,1,1
10385655,8,6,5,5,0,0
10385651,14,4,2,1,0,0
10385658,3,16,1,2,3,2
10385662,8,5,7,3,1,3
10385637,4,10,2,2,1,0
10385654,3,1,1,3,1,1
10385655,8,6,5,5,0,0
10385651,14,4,2,1,0,0
10385646,5,12,3,1,2,0
10385658,3,16,1,2,3,2
11155330,4,6,3,0,1,1
10385660,6,3,3,1,1,0
10385650,8,3,3,1,0,0
10385646,5,12,3,1,2,0
11155330,4,6,3,0,1,1
10385660,6,3,3,1,1,0
10385650,8,3,3,1,0,0
10385683,4,10,6,1,2,3
10385694,5,14,1,1,0,0
10385681,6,4,4,2,0,0
10385688,5,3,0,5,1,0
10385697,7,3,4,0,0,2
10385685,2,13,5,0,15,1
10385702,12,4,4,2,0,0
10385683,4,10,6,1,2,3
10385698,7,6,7,0,1,0
10385684,6,6,3,1,2,0
10385694,5,14,1,1,0,0
10385681,6,4,4,2,0,0
10385688,5,3,0,5,1,0
10385697,7,3,4,0,0,2
10385685,2,13,5,0,15,1
10385702,12,4,4,2,0,0
10385698,7,6,7,0,1,0
10385684,6,6,3,1,2,0
10385688,5,3,0,5,1,0
10385685,2,13,5,0,15,1
11196472,5,14,1,1,6,0
11196472,5,14,1,1,6,0
11227333,5,7,6,1,1,0
10385723,2,1,3,0,1,0
11227333,5,7,6,1,1,0
10385719,4,9,2,2,2,0
10385703,2,9,1,0,3,0
10385723,2,1,3,0,1,0
10385716,7,6,6,0,0,1
10385691,4,4,5,1,1,4
10385690,13,5,2,7,1,2
10385701,7,11,2,3,1,2
10385714,5,7,8,1,0,0
10385722,7,8,5,17,8,4
10385719,4,9,2,2,2,0
10385703,2,9,1,0,3,0
10385699,13,6,1,4,1,1
10385716,7,6,6,0,0,1
10385691,4,4,5,1,1,4
10385690,13,5,2,7,1,2
10385701,7,11,2,3,1,2
10385714,5,7,8,1,0,0
10385722,7,8,5,17,8,4
10385699,13,6,1,4,1,1
11227334,7,11,2,3,1,2
10385714,5,7,8,1,0,0
10385722,7,8,5,17,8,4
11227334,7,11,2,3,1,2
11230172,2,12,1,0,2,1
11230172,2,12,1,0,2,1
11230171,8,5,7,3,1,1
11230171,8,5,7,3,1,1
10385712,13,3,3,1,0,0
10385710,8,1,5,3,0,0
10385724,7,6,2,1,1,0
10385711,2,2,0,2,2,0
10385717,15,2,3,4,0,0
10385726,8,10,2,0,1,0
10385709,12,5,3,1,3,2
10385727,3,10,5,0,0,2
10385731,4,12,4,0,0,1
10385733,9,6,5,1,5,1
