id,homeTeamId,awayTeamId,homeScorePeriod1,homeScoreCurrent,awayScorePeriod1,awayScoreCurrent
10385467,37,38,1,1,1,1
10385467,37,38,1,1,1,1
10385451,42,50,0,1,0,1
10385468,7,30,0,1,0,1
10385461,43,14,1,2,0,0
10385466,31,33,3,4,1,1
10385457,45,3,1,1,0,2
10385460,60,39,1,1,1,1
10385467,37,38,1,1,1,1
10385451,42,50,0,1,0,1
10385468,7,30,0,1,0,1
10385461,43,14,1,2,0,0
10385466,31,33,3,4,1,1
10385457,45,3,1,1,0,2
10385460,60,39,1,1,1,1
10385464,34,35,0,0,0,2
10385452,17,40,3,3,0,1
10385464,34,35,0,0,0,2
10385452,17,40,3,3,0,1
10385456,44,48,1,2,0,0
10385456,44,48,1,2,0,0
10913239,42,17,1,1,1,3
10913239,42,17,1,1,1,3
10385462,40,42,2,2,1,4
10385462,40,42,2,2,1,4
10385474,50,7,0,1,0,1
10385475,30,43,0,0,0,1
10385472,38,45,0,0,1,1
10385463,48,34,0,1,0,0
10385465,14,17,0,1,1,1
10385479,3,60,0,0,0,1
10385470,39,44,0,0,2,2
10385462,40,42,2,2,1,4
10385474,50,7,0,1,0,1
10385475,30,43,0,0,0,1
10385472,38,45,0,0,1,1
10385463,48,34,0,1,0,0
10385465,14,17,0,1,1,1
10385479,3,60,0,0,0,1
10385470,39,44,0,0,2,2
10652688,35,31,1,3,0,0
10385477,33,37,0,2,0,0
10652688,35,31,1,3,0,0
10385477,33,37,0,2,0,0
10385473,43,3,0,1,1,1
10385473,43,3,0,1,1,1
10385471,48,40,0,0,0,2
10385478,34,45,0,1,0,0
10385480,31,42,0,0,0,1
10385482,37,14,0,4,0,0
10385476,60,17,0,1,3,4
10385486,7,44,0,0,0,0
10385488,33,38,0,2,0,0
10385471,48,40,0,0,0,2
10385478,34,45,0,1,0,0
10385480,31,42,0,0,0,1
10385482,37,14,0,4,0,0
10385476,60,17,0,1,3,4
10385486,7,44,0,0,0,0
10385488,33,38,0,2,0,0
10385488,33,38,0,2,0,0
11047751,42,48,2,4,0,0
11047752,44,3,0,2,0,0
11047751,42,48,2,4,0,0
11047752,44,3,0,2,0,0
10517280,17,39,1,2,0,0
10517280,17,39,1,2,0,0
10385490,42,60,0,3,1,2
10385485,40,7,1,1,0,0
10385487,30,37,1,4,0,0
10385495,38,34,0,1,0,0
10385492,3,33,0,1,0,0
10385496,45,31,1,1,0,0
10517280,17,39,1,2,0,0
10385490,42,60,0,3,1,2
10385485,40,7,1,1,0,0
10385487,30,37,1,4,0,0
10385495,38,34,0,1,0,0
